name,artform,duration,plot,rationale,keywords,limitations,link,
"Firefly women

Cast: Priiya, Savita Rani, Manjari K
Sound: Philipp Kehdler
Dramaturgy: Wen Hui
Direction: Manjari",Documentary/Film,1 Minutes 31 Seconds ,"This performance is about two young Indian women, imprisoned under a law, share their experiences in letters to friends and comrades. They describe how the patriarchal structures within the prison mirror those of the outside world. The women write about forming bonds with fellow inmates who teach them to navigate prison life with dignity. They also share their interactions with children born and raised within the prison walls.","This performance delves into the experiences of forgotten individuals and their stories who comes from the tribal communities, examining how they navigate gender and identity within a surveillance under prision. It highlights the resilience of marginalized bodies and the power of collective resistance. The work explores themes of solidarity, empathy, and the search for solace in the face of oppression. By focusing on the lived experiences of these individuals, the performance challenges normative gender roles and exposes the limitations of surveillance systems.","stories, reality, identity, hope, voice, body, stage",Full performance is not available. Reach out to the artist.,https://www.manjarikaul.com/firely-women,
ILA ,Theatre,,"""Inspired by a lesser known myth, Ila is a devised piece that looks at gender, its related myths and dilemmas and the importance they play in our lives today. With ever-changing landscapes (sometimes in ancient land and sometimes in the local trains of Mumbai) and leaps in time, this chorus takes the audience through a provocative, playful and exciting journey that questions what it means to “be a woman/man and everything in between”- Patchworks Esembles",,"body intreaction, audience engagement, personal narratives, storytelling content which are non-linear , and fusion of forms","I was searching perormances around body intreaction, audience engagement, personal narratives, storytelling content which are non-linear , and fusion of forms. While searching the performances I got was on platform like Sandbox collective, Banglore International centre, and Kiran Nadar Museum for art which are running shows and the performances are not fully available. They have the description of it which looks very facinating to me. We can reach out to the artist for the performance clips.",https://patchworksensemble.com/ila/,
"Sex in the city
by Indu Harikumar",Immersive Multimedia Performance,Not mentioned ," Sex in the City is an immersive multimedia performance that blends personal narrative, illustration, and live performance to explore themes of gender, sexuality, and body politics. Created by Indu Harikumar, this powerful piece invites audiences to not just watch, but to actively participate in a collective exploration of pleasure, consent, vulnerability, and gender-based violence. Drawing from eight years of research, the performance culminates in a shared dance experience, fostering a sense of release and connection among all participants.
","The initial poster for ""Sex in the City"" itself is a powerful political statement. Its bold colors, suggestive imagery, and the figure sprawled confidently in a public space challenge societal norms and expectations around gender, sexuality, and public behavior. This provocative image directly engages with the ongoing debate about public and private spaces, questioning who has the right to occupy them and how. The interactive nature of the performance, where the audience becomes part of the experience and explores bodily themes and emotions with the performer, further amplifies its political significance by blurring the lines between performer and spectator and challenging traditional notions of theater.







",,,"https://www.instagram.com/sandboxcollective/p/DBtXmMTIokZ/?img_index=5
https://induviduality.com/
https://linktr.ee/induviduality
https://www.sandboxcollective.org/",
"Raanti

Concept and choreography- @maijojojo
Performers - @ms.sayli @medha_chaudhari06 @hennrai @tanz_vi @maijojojo


",Contemporary Dance Movement,Not mentioned ,"This performance is contemporary dance movement installation that challenges societal norms and empowers women. By reclaiming the derogatory term ""Raanti which means barbarian,"" the performance celebrates the raw, untamed aspects of femininity often suppressed. Through powerful, embodied movement, it invites audiences to witness the transformative power of authentic self-expression and to reflect on societal pressures that often limit women's freedom to express their emotions fully.










","The installation's photo images truly captivated me with their movement, moment, and powerful message. Diverse female bodies, adorned in vibrantly unconventional clothing, took center stage in a unique performance. Their intimate interactions challenged societal norms and stereotypes about how bodies should behave in public spaces. The backdrop of painted storytelling added an intriguing layer to this thought-provoking display. ",,,https://www.instagram.com/678.colab/p/DA5tO2BS6vo/?img_index=6,
The Creature In Me Is Not Upright by Jasmine Yadav,Dance,5 Minutes ," 'The Creature In Me Is Not Upright' is a dance film which shot in a public mohalla and a dance studio both and it keeps cutting abruptly between the two diff locations conveys how to embrace the future one must acknowledge the past and tune into the realities of today. The dancing creature slips, melts and finds it challenging to remain upright. The work imagines a future where distress and trauma are allowed space to be witnessed and held. Historically and in present as well mohalla and gali is often occupied predominantly by male bodies for leisure and socialisation as untitlement but this performance break the notion and as a female body the artist recalim the space for venting out the trauma and distress of a human body in public space which we conventionally see as private matter.","Using body movements which are considered wired or ajeeb in female bodies this piece creates space for the body to feel the fear, distress, and trauma instead of feeling shame about it. The dark and the light screen higlights the movements and vulnerablities. Performaning in a public place like 'Moholla' while  male passer bys watch shows the politcs of female bodied person occupying public spaces. Performer intreaction with her own body looks intimate and vulnerable and communicative focusing on care and kindness which we often forget in this capitalist beauty standard world.","Public, dance movement, body, city, sexuality, dreams, hope, intreaction",,https://www.youtube.com/watch?v=7ROE2uHXFxo,
Kaali Ghati,Theatre,Not mentioned ," ""Kaali Ghadi"" is the tale of all the godforsaken affairs of men, the plot twists and turns highlighting all the filth and toxicity in a not so pompous hypothetical village in UP, the blatant social evils existing in our society at present and the merry go round of the omnipresent politics, but garnishing all this is the celebration of emotions."" -  sbsec.org
","Men sharing emotional vurnabilites on stage with men by venting and with eye contact with the audience. Two male bodied people sharing intimate moments stand out especially  infront of the Delhi Univerity Faculty and students in a heretonormative setting. Challenging the notion of masculinity through using body movements, touch and emotion. ","Masculinity, India, intimacy, college, performance, live, love, body",The full description of the performance is not available but through clips I observe the queer elements of the performance. Who the artist and group performing doesn't mentioned it is hard to trace their work.,https://www.youtube.com/watch?v=V7F4H9sYxJk,
"Coloured and Choosing by Aruna Ram Ganesh

2016 
An Immersive Experience of Gender


",Experiential Installation,13 Minutes 8 seconds ,"This performance is a experiential installtion for the audience where they also become the artist of the performace using 'blindfold' theme to understand gender thorugh touch, body movements, laugh, walk, breath, and music it is like stripping all the idea about gender we have learnt from the society. The performance stand in the middle of the stage and all the four other performer played with the blindfloded audience to understand what gender the artist has? Each rendition is different and how its like a subjective game almost. Coloured and Choosing has been devised by Lochan Baratakke, Rijul Ray,
Sudha Sudanthi and Vrinda Misra, directed by Aruna Ganesh Ram.","Using personal narratives through diverse props like sounds, object, antcedotal matrieal, and music. The idea of the blindfold feels like society's binary blindness about gender from our childhood. Audience present affect the performance as they become the object of the performnce while simultaneously being part of the performance. The line between the audience and the performers is fluid. The  performer questions the whole existence of gender as power structure. This performnce question the very idea of gender as social tool to control one's own desire and expression, how we see and understand gender everyday by looks, hair, names, pronouns, femininity, musclinity in conclusion everything which we see in binary. Ask audience to experience and redefine the how they see gender by non-tangiable things like breath.","Body, desire, love, intreaction, live, Indian, movement ",,"https://www.youtube.com/watch?v=YDAH4Bp3VU4
https://www.arunaganeshram.com/theatre.html",
Bhaagi hui ladkiyan by Aagaaz theatre directed by Dhawni Vij,"
Theatre

",90 Minutes ,"Bhaagi Hui Ladkiyaan is a theatrical exploration of the lives of four young Muslim women residing in Nizamuddin Basti. The play delves into their daily struggles, aspirations, and the complex interplay between their private and public identities. The women, through physical theater and storytelling, confront societal expectations, gender roles, and the limitations of their domestic spaces. By shedding their veils and embracing their true selves, they challenge traditional norms and seek liberation in the outside world. The play ultimately highlights the tension between self-perception and external judgment, as the women navigate the complexities of their identities within their community. ","The play is fluid in essence, with actors sharing personal stories each time the narration changes related to current issues surrounding gender norms, sexuality, freedom, and dreams. They incorporate the lived experiences of intersectional identities like religion, gender, class, and region, bringing voices from the ground level. By using everyday essentials such as toothpaste, bras, and mugs, the play reflects on the idea of the mundane items but gendered. This play in its core challenges the traditional notion of theater as an art form, blurring the lines between audience and artist where the performer constantly and consiously intreact with the audience . The audience's interactive elements throughout the play are particularly striking, culminating in a powerful finale where they invited on the satge and put the spark paper where they feel resonating with personal narratives of the artist navigating gender, religion, and class identities while navigating Nizamuddin mohalla and symbolises that a part of you in the Nizamuddin space. Using veil as a prop and symbol to blurr the idea of public and private. In between the play artist use silence as a tool for reflection and communication which highlights the importance and relevance of time. Using everyday mundane essential like pad, bra, crockeries, broom etc as props  to symbolize that is it everyone's story. ","I come from the same community, I have watched this play twice. Saw the last live performance of the play in Kiran Nadar  Museum of Art theatre festival at Sunder Nursery in New Delhi from. 14 to 20 October 2024",,https://www.facebook.com/aagaaztheatre/videos/%E0%A4%AD%E0%A4%BE%E0%A4%97%E0%A5%80-%E0%A4%B9%E0%A5%81%E0%A4%88-%E0%A4%B2%E0%A5%9C%E0%A4%95%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81-teaser-meta-2019/1889809354479756/,
"""FAR... WITHIN"" by Laksha (Lakshya), produced by Pivot Arts",Dance,36 Minutes 15 seconds ,"""FAR... WITHIN"" is a contemporary dance film by Laksha (Lakshya) that explores themes of identity, belonging, and self-discovery. Through dance, Laksha the transwoman artist navigates the tension between their personal desires and societal expectations. The film showcases their unique dance style, blending contemporary and traditional Indian dance forms. It explores themes of isolation, loneliness, and the search for connection, creating a visually stunning and emotionally resonant experience.

""Our production ""FAR... WITHIN"" is a dance film by Laksha Dantran. The film takes the perspective of a transwoman who has a great dream: she sees the journey of creation, human life, and society. Her dream takes her to the Big Bang, to the first living organisms, and finally to the first primitive human beings. Amid social distancing and the COVID pandemic, she urges all to reflect and take steps. We have a role to return to our nature: we must take care of our Earth and one another."" - Laksha Dantran
","The artist used the art to make the audience aware about the sufferings and violence agains the trans* community but especially towards transwomen. Using imgination and dream as content theme to discover how human reach the stage where we are so intolerent towards difference and diversity. Where nature within itself holds diversity with dignity. Through the body movements, props, narration and rythms the artist questions the human greed for power and thats how they created a unequal society on the basis of identites this world have become has come so far within that they froget about people like her and the community she comes from. Artist through her personal experiences questions about the mental distancing the trans* community has to go through in this cisgender/cisheretonormative world.  The artist use metaphor of mother earth and nature as finding one's true self. It feels like the transwoman and her sufferings and dream is interchangeable with the nature earth. She created the production by her self during the covid times which is active political choice. The using non-living organism to talk about human life using props like diverse costume and technological effects.","Art form mixing, queer, trans*folks, dance, body movement, desire, descrimination, dream",,"https://www.youtube.com/watch?v=Rngs0UOt6rg

https://www.dancingtrans.com/videos",
Finding My Queer Body by Debashish Paul,Embodied Art Performance,NA - 15-20 minutes,"Finding My Queer Body by Debashish Paul is a solo performance that examines the journey of self-discovery and acceptance within a queer identity. Through expressive movement and narrative monologues, Paul explores themes of gender fluidity, body politics, and the societal pressures that shape queer existence. The performance is deeply personal, reflecting the search for authenticity and self-love in a world that often marginalizes and labels queer bodies, allowing audiences to witness the struggles and triumphs embedded in embracing one's true self.","Finding My Queer Body is a vital piece for the queer archive as it captures the embodied process of reclaiming and redefining one’s identity. Paul’s exploration of body politics and gender fluidity contributes to the archive’s mission of showcasing intersectional queer experiences, particularly through the lens of self-acceptance and personal liberation. It challenges normative definitions of the body, providing a raw and intimate portrayal that expands the archive's representation of queer journeys.","Queer, Body, Art, Debashish Paul",The work is not available in full digitally. ,Finding My Queer Body: Debashish Paul | India Art Fair Artist-in-Residence,
