name,genre,active,contact,link,keyword
Khabar Lahariya,Media,2002,khabarlahariyadelhi@gmail.com,https://khabarlahariya.org/,Women's Narratives
India Unheard,Media,2003,info@videovolunteers.org,https://www.youtube.com/c/videovolunteers/featured,Community
Blank Noise,Art Project,2003,actionhero@blanknoise.org,https://www.blanknoise.org/home,Community
Ghar (Gay housing assistance and resource),Community,2004,,https://www.facebook.com/groups/ghar.mumbai/,Community
Living Feminisms,Digital Archive,2004,jagori@jagori.org,http://www.livingfeminisms.org/,Archive
In Plainspeak,Magazine,2005,blogeditor@tarshi.net,https://www.tarshi.net/inplainspeak/,Sexual And Reproductive Health
Kafila,Blog,2006,,https://kafila.online/about/,Media
Public Access Digital Media Archive (Pad.ma),Digital Archive,2007,pad.ma@pad.ma,https://pad.ma/grid/title,Archive
Gaysi,Media,2008,gaysifamily@gmail.com,https://gaysifamily.com/,Queer Narratives
Gaylaxy,Magazine,2010,editor@gaylaxymag.com,https://www.gaylaxymag.com/,Queer Narratives
Women's Web,Media,2010,community@womensweb.in,https://www.womensweb.in/about-us/,Women's Narratives
Voices Unheard,Digital Archive,2012,,https://voicesunheard1.wordpress.com/,Archive
Nirantar Blogs,Blog,2012,91-11-26966334,https://nirantarblogs.wordpress.com/,Women's Narratives
Dalit Women Fight,Community,2013,dalitwomenspeak@gmail.com,https://dalitwomenfight.org/,Women's Narratives
The Ladies Finger,Magazine,2013,fingerzine@gmail.com,http://theladiesfinger.com/,Women's Narratives
Support Group for Justice for Kunan Poshpora,Community,2013,solidarityforkunanposhpora@gmail.com,https://www.facebook.com/KunanposhporaCampaign/?ref=page_internal,Women's Narratives
Qradio,Media,2013,info@radiowalla.in,https://www.facebook.com/qradiowalla/,Queer Narratives
Indian Women Blog,Magazine,2014,contactindianwomen@gmail.com,https://www.indianwomenblog.org/,Women's Narratives
The Swaddle,Media,2014,editors@theswaddle.com,https://theswaddle.com/,Queer Narratives
Feminism In India,Media,2014,info@feminisminindia.com,https://feminisminindia.com/,Media
Pari Network(Peoples archive of Rural India),Media,2014,contact@ruralindiaonline.org,https://ruralindiaonline.org/en/,Women's Narratives
Chambal Media,Media,2015,info@chambalmedia.com,https://chambalmedia.com/,Women's Narratives
Asexual India,Blog,2016,,https://asexualityindia.org/index.html,Queer Narratives
The Queer Muslim Project,Community,2017,info@tqmp.in,https://www.thequeermuslim.com/,Religion
Almaari (Our Closet Project),Magazine,2017,,https://almaarii.wordpress.com/,Queer Narratives
iqueerlit,Digital Archive,2017,,https://www.instagram.com/iqueerlit/,Queer Narratives
The Glass Closet,Blog,2017,theglassclosetblog@gmail.com,https://theglassclosetsblog.wordpress.com/,Queer Narratives
TransVision,Media,2017,transvisionhyd@gmail.com,https://www.youtube.com/channel/UCYjwx0gcDp-C-uPZITPrbJg/featured,Trans
Coven Code,Community,2018,thecovencollection@gmail.com,https://www.instagram.com/coven.code/?hl=en,Queer Narratives
Dalit Queer Project,Community,2018,,https://www.instagram.com/dalitqueerproject/,Queer Narratives
Project Anti-Caste Love,Community,2018,projectanticastelove@gmail.com,https://www.instagram.com/projectanticastelove/,Queer Narratives
The Sanskaaraki Girls Book Club,Virtual Book Club,2018,,https://www.instagram.com/sanskaarigirls/,Feminism
The Chinky Homo Project,Community,2018,chinkyhomo@gmail.com,https://thechinkyhomoproject.wordpress.com/,Queer Narratives
The Pink List India,Digital Archive,2018,,https://www.pinklistindia.com/,Archive
Queerabad,Community,2018,queerabad@gmail.com,https://www.facebook.com/queerabad/about/?ref=page_internal,Queer Narratives
Mithra Trust,Support Group,2018,hello@mithratrust.com,https://mithratrust.com/,Queer Narratives
Dalit Feminism Archive,Digital Archive,2019,dalit.feminism@gmail.com,https://www.instagram.com/dalitfeminismarchive/,Archive
Smashboard,Digital Advocacy,2019,info@smashboard.org,https://site.smashboard.org/about,Feminism
Basanti: Women at Leisure,Photo Project,2019,,https://www.instagram.com/women_at_leisure/,Women's Narratives
Women Walk At Midnight,Community,2019,keepyourhelmeton@gmail.com,https://www.instagram.com/wewalkatmidnight/,Women's Narratives
Rainbow Health Delhi,Support Group,2019,aident.tg@gmail.com,https://rainbowhealth.in/home,Hiv/Aids
Manipur LGBTQ plus,Community,2019,,https://www.instagram.com/manipurlgbtq/,Queer Narratives
Cecilia'ed,Art Project,2019,ceciliaed19@gmail.com,https://www.ceciliaed.com/,Art
Behan Box,Media,2019,editor@behanbox.com,https://behanbox.com,Media
Kashmir Pop Art,Art Project,2020,,https://www.instagram.com/kashmirpopart/?hl=en,Art
Zanaan Wanaan,Community,2020,info@zanaanwanaan.com,https://zanaanwanaan.com/,Women
Indian Medical Student's Association of Pride and Sexuality,Community,2020,,https://www.instagram.com/_imsaps/,Queer Narratives
Manushi,Digital Archive,2020,editor@manushi-india.org,https://www.manushi.in/,Women's Narratives
Queer Women Collective India,Community,2020,queerwomencollective@gmail.com,https://www.instagram.com/qwc.india/,Queer Narratives
Womxn Writers Project,Art Project,2020,womxnwritersproject@gmail.com,http://womxnwritersproject.com/,Writing
Dragvanti,Magazine,2020,dragvanti@gmail.com,https://www.dragvanti.com/,Drag
All About Me,Art Project,2020,,https://www.instagram.com/allllaboutmeee/,Art
Zinedebaad,Magazine,2020,,https://www.instagram.com/zinedabaad/,Writing
