upcoming,title,type,location,year,contact,link,organiser,nature,comments,
TRUE,Kolkata Rainbow Pride Walk,Pride Marches,Kolkata,1999,info@kolkatapride.org,https://kolkatapride.org/,Kolkata Rainbow Pride Festival,Recurring,,
FALSE,Bengaluru Namma Pride March,Pride Marches,Bangalore,2008,namma.pride@gmail.com,https://www.facebook.com/BangalorePride/,Campaign for Sexuality Minorities Rights (CMSR),Recurring,Previously known as Bengaluru Pride and Karnataka Queer Habba,CMSR is a coalition for Sex Workers and Sexuality Minority Rights
FALSE,Delhi Queer Pride Parade,Pride Marches,Delhi,2008,delhiqueerpridecommittee@gmail.com,https://www.facebook.com/delhiqueerpride/,Delhi Queer Pride Committee,Recurring,,
FALSE,Queer Azaadi March / Mumbai Pride March,Pride Marches,Mumbai,2008,info@mumbaipride.in,https://www.facebook.com/qam.mumbaipride/,Queer Azaadi Mumbai,Recurring,QAM ia a collective of organizations and individuals working for the rights of LGBTQIA community,
FALSE,Bhubaneswar Pride Parade,Pride Marches,Bhubaneswar,2009,,https://www.facebook.com/bhubaneswarpride/,,Recurring,"The first parade was organised by Sakha, Institute for Development Programmes and Research (IDPR), and SAATHII",
FALSE,Chennai Rainbow Pride,Pride Marches,Chennai,2009,https://www.clubhouse.com/@chennai_pride,https://www.instagram.com/chennai_pride/?hl=en,Tamil Nadu Rainbow Coalition,Recurring,,
FALSE,Kerala Queer Pride,Pride Marches,Thrissur,2010,queerythm@gmail.com,https://www.facebook.com/queerythm/,Queerythm,Recurring,,
FALSE,Pune Pride,Pride Marches,Pune,2011,,,Samapathik Trust,Recurring,Samapathik Trust is a men's sexual health organization,
FALSE,Patna Pride March,Pride Marches,Patna,2012,,,,Recurring,The first Patna Pride March was organised by  Project Pehchaan and a local Patna group called Dostana Safar,
FALSE,Chandigarh LGBT Pride Walk,Pride Marches,Chandigarh,2013,,,Saksham Trust,Recurring,,
FALSE,Gujarat LGBT Pride,Pride Marches,First held in Surat,2013,,,,Recurring,The parade has since been held at Vadodara and Ahmedabad,
FALSE,Hyderabad Queer Swabhimana Yatra,Pride Marches,Hyderabad,2013,,https://www.facebook.com/HyderabadQueerSwabhimanaYatra/,Organised by a coalition of 42 organisations,Recurring,,
FALSE,Bengal Rainbow Pride Walk,Pride Marches,West Bengal,2013,,https://m.facebook.com/events/860393983987199?active_tab=about,Association of Transgender/Hijra in Bengal (ATHB),Recurring,,
FALSE,Queer Pride Guwahati,Pride Marches,Guwahati,2014,,,,Recurring,"The first Queer Pride Guwahati was supported by Queer-affirmative NGOs in Guwahati, members from Queer Azaadi Mumbai, and the Delhi Queer Pride Committee",
FALSE,Nagpur Pride Parade / Orange City LGBT Pride March,Pride Marches,Nagpur,2016,,https://www.facebook.com/groups/495661167279661/about/,Sarathi Trust,Recurring,,
FALSE,Awadh Queer Pride,Pride Marches,Lucknow,2017,,https://www.instagram.com/awadhqueerpride/?hl=en,Awadh Queer Pride Committee,Recurring,,
FALSE,Bhopal Pride March,Pride Marches,Bhopal,2017,bhopalpride@gmail.com,https://www.instagram.com/bhopalpride/?hl=en,Bhopal Pride,Recurring,,
FALSE,Pride De Goa,Pride Marches,Goa,2017,goarainbowtrust@gmail.com,https://goarainbowtrust.com/,Goa Rainbow Trust,Recurring,,
FALSE,Sex Worker Pride,Pride Marches,Karnataka,2019,ashodayasamithi@yahoo.co.in,http://www.ashodayasamithi.org/frontend/httpdocs/,Ashodaya Samiti,Once,,
FALSE,Raipur Queer Pride March,Pride Marches,Chhattisgarh,2019,lgbtchattisgarh@gmail.com,https://www.facebook.com/LGBTQ-Chhattisagarh-104425607565159,LGBTQ Chhattisgarh,Once,,
