people,link,title,comments,,,
Imdad Barbhuyan,https://www.imdadbarbhuyan.com/,Visual artist,imdad154@gmail.com,,,
Raqeeb Raza,https://www.instagram.com/daintystrangerphotos/?hl=en,Artist,,,,
Patruni Chidananda Sastry,https://www.instagram.com/sas3dancingfeet/?hl=en,"Performance artist, Folk singer, Expressionsit dancer, drag queen",Founder of Dragvanti,,,
Miss Bhenji,https://www.instagram.com/missbhenji/,Indian Aesthetic Drag Queen,Founder of All About Me ,,,
Glorious Luna,https://www.instagram.com/glorious_luna/?hl=en,"Actor, Drag Queen",Founder of Queer Carnival,,,
Maya The Drag Queen,https://www.instagram.com/mayathedragqueen/?hl=en,Drag Queen,,,,
Friends of Linger,https://www.youtube.com/channel/UClm71RtsE9YyP-0DL0adS0A,Music Band,"Formed by Sharif K. Rangnekar, the director of Rainbow Lit Fest",,,
Priyanka Divaakar R,https://www.facebook.com/priyankadivaakar.r,Radio Jockey,"Works at Radio Active CR 90.4 MHz, with a weekly show on the LGBT community, Yari Varu",,,
Shilok Mukkati,https://feminisminindia.com/2020/10/05/shilok-mukkati-queer-literature-art-activism/,"Poet, Activist, RJ",Award winning radio program called ‘Lesbian in the Shadows’ ,,,
"Mediastorm, 1985",,Women-led Documentary Collective,"Members: Shohini Ghosh, Sabeena Gadihoke, Shikha Jhingan, Ranjani Mazumdar, Sabina Kidwai, Charu Gargi",,,
Indu Antony,https://www.induantony.com/bio,Artist,"Creator of Cecelia'ed, a public art project on feminist geography",,,
Charan Singh,https://www.charansingh.net/,Visual artist,,,,
Bhupen Khakkar,,Artist,,,,
Sahilendra Sahu,http://shailendra7-parsa.blogspot.com/,Artist,,,,
Mahua Tripps,https://mahuatripps.wordpress.com/,Art House,,,,
Dancing Queens,,,India's first transgender-led professional dance contingent,,,
Delta App,https://www.facebook.com/TheDeltaApp/,,first LGBT Community & Networking app in India.,,,
Anirban Ghosh,https://www.instagram.com/anirban_ghosh/,Visual artist,,,,
"Women's Development Cell, Lady Shri Ram College for Women, University of Delhi",https://lsrwdc.wordpress.com/,Community organisation,1985,lsr.wdc@gmail.com,"Advocacy, campaigns, and programs on gender equality, empowerment of women, and gender sensitisation",
"Women's Development Cell, Shivaji College, University of Delhi",https://wdcshivajicollege.wordpress.com/,Community organisation,2013,wdcshivaji@gmail.com,"Advocacy, campaigns, and programs on gender equality, empowerment of women, and gender sensitisation",
