region,name,location,type,activeSince,contact,programs,keywords,comments,lat,lng
Delhi,Nirantar,https://www.nirantar.net/,NGO,1993,nirantar.mail@gmail.com,"1. Women's Education and Empowerment.
1.1 Annual Literacy and Empowerment training
1.2. Knowledge creation and educational material in regional language for and by newly literate women.
1.3. Promoting adult women's literacy and education
1.4. Supporting women's collectives and building strategic alliances in Bihar
2. Young People's Education.
3. Learning Resource Centre
3.1. Course on Young People, Sexuality, & Rights (Yuva, Yaunikta, aur Adhikar)
3.2. “Sexuality: Looking in, Looking out” Course
4. The Third Eye
4.1. Online program to explore new themes.
4.2. Offline training and experiential learning for organisations","Gender, Sexuality, Education",http://www.nirantar.net/uploads/files/Nirantar%20Catalogue%20English.pdf,28.557163,77.163665
Delhi,Nazariya: A Queer Feminist Resource Group,https://nazariyaqfrg.wordpress.com/,Queer Feminist Resource Group,2014,nazariya.qfrg@gmail.com,"1. Case Work and Helpline 1.1. Peer counselling 1.2. Casework with queer women and trans persons facing violence
2. Resource Centre and archiving
2.1. Our Lives, Our Tales: A talk series by queer people in the queer movement.
3. Capacity Building
3.1. Workshops and seminars in colleges.
3.2. Working with other organisations as resource persons","Capacity Building programs, Research, Queer women, Trans persons",,28.557163,77.163665
Delhi,Sangini (India) Trust,https://sanginiindia.wordpress.com/,NGO,1997,sangini97@hotmail.com,1. 24/7 emergency response services LBT individuals,"Lesbian, Bisexual, Transgender persons, LBT emergency response services",It was set up under the umbrella of The Naz Foundation (India) Trust in 1997.,28.557163,77.163665
Delhi,ABVA,http://aidsbhedbhavvirodhiandolan.blogspot.com/2021/08/,Non-funded non-party organisation,1988,aidsbhedbhavvirodhiandolan@gmail.com,"1. Advocacy for the rights of People Living with HIV (PLHIV), Women in Prostitution, Drug Users, and the LGBT Community
2. Research",HIV/AIDS prevention and care,,28.557163,77.163665
Delhi,Gender at Work India,https://genderatwork.org/genderatwork-india/,NGO,2015,media@genderatwork.org,"1. Gender Equality Consulting with other organisations
2. Gender Action Learning (GAL) programs: Addressing women's rights and gender equality with development organisations and institutions
3. Grassroot Women Leading Change Project: focus on women's rights and addressing violence against women and children
4. Workshops and campaigns to make the workplace more inclusive: capacity building, mentoring, networking, research on gender equality practices","Gender Action Learning, Women's rights, Research",,28.557163,77.163665
Delhi,Naz Foundation,https://www.nazindia.org/,NGO,1994,info@nazindia.org,"1. Care and support services to children living with HIV and AIDS (CHLA)
2. Young People's Initiative focused on development of female leadership and empowerment of economically disadvantaged adolescent girls.
3. LGBTQIA [plus] initiative
3.1. Counselling and referral services
3.2. Supporting individuals in accessing their medical services rights.
4. Partnership building with other organisations, advocacy, and training and awareness sessions.","Healthcare, Training programs",,28.557163,77.163665
Delhi,Sakhi,,Community Organisation,1991,,"1. Advocacy, campaigns, support, and discussions for the rights of Lesbain and Queer women
2. Research","Queer Women network, Support and care services, Research",Founded by Giti Thadani,28.557163,77.163665
Delhi,Talking About Reproductive and Sexual Health Issues (TARSHI),https://www.tarshi.net/,NGO,"founded in 1996, registered in 1997",tarshiweb@tarshi.net,"1. Interactive Voice Response System: an infoline dedicated to give information on a range of topics related to sexual and reproductive health, HIV, contraceptive choices, sexual and gender identities, violence, safety and pleasure in a pre-recorded format.
2. eLearning short and long courses on Sexual and Reproductive Health and Rights (SRHR) and Comprehensive Sexuality Education (CSE). 
3. Training and workshops on sexuality SRHR, and counselling skills.
4. Public education activities, campaigns, and advocacy on CSE","Sexual Health, Reproductive Choices, Safe Inclusive Self Affirming (SISA) Space",https://www.tarshi.net/index.asp?pid=20,28.557163,77.163665
Delhi,Creating Resources for Empowerment in Action (CREA),https://creaworld.org/,NGO,2000,crea@creaworld.org,"1. Feminist Leadership
1.1. Meri Panchayat, Meri Shakti
1.2. South Asia Young Women's Leadership and and Mentorship Program
1.3. SELF (Sports, Expression, Leadership, and Freedom) Academy for young girls and young women
1.4. New Voices, New Leaders: A resource pool for women leaders from Myanmar, Nepal, and India for social change.
1.5. Feminist Leadership Movement Building and Rights Institute (FLMBaRI)
1.6. Ibtida: A leadership development program focused on building the capacity on women-led organisations.
2. Sexual and Reproductive Rights
2.1. It's My Body: Advancing SRHR of girls through sports
2.2. Sexual Rights Initiative advocating social and policy change
2.3. Sexuality Gender and Rights Institute: residential course on the conceptual study of sexuality. (sexuality, rights, gender, and health, and their interface with socio-cultural and legal issues)
2.4. Kahi Ankahi Baatein: SRHR issues made available for Hindi-speaking people.
2.5. Abortion Rights Program
3. Gender Based Violence: Sensitisation campaigns and social change advocacy.
4. Voice and Visibility
4.1. Disability Sexuality and Rights Online Institute (DSROI), 6 weeks long course on a conceptual study of disability and sexuality, and its inter-linkages with issues of feminism, public health, development, violence, and media and representation, amongst others. 4.2. Sex Worker's rights and gender ad sexuality diversity advocacy.","Feminist leadership, Sexual and reproductive rights",https://creaworld.org/resources/,28.557163,77.163665
Delhi,Jagori,https://www.jagori.org/,Feminist Organisation,1984,jagori@jagori.org,"1. Gender sensitisation trainings, workshops, study circles.
2. Campaign against Violence on Women
3. Support services for survivors
4. Archival of Feminist history in India","Gender Sensitisation training, Feminist history archival",,28.557163,77.163665
