region,Latitude,Longitude,scatterLat,scatterLong,count,name,location,type,active,contact,programs,keywords,keyword2,keyword3,id,color
Allahabad,26.8467088,80.9461592,26.8467088,80.9461592,0,"Resistance Alliance for Queer Solidarity, University of Allahabad",https://www.facebook.com/raqsallahabad/,Community Organisation,,,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,1,#79A5AE
Andhra Pradesh,15.9128998,79.7399875,15.9128998,79.7399875,0,"Department of Women's Studies, Sri Padmavati Mahila Visvavidyalayam",https://www.spmvv.ac.in/acad.html,Academic/ Research Centre,NA,,"Department Offers an MA, Mphil and Phd in Women's studies. The Key areas of Research are:
1.Gender and Development
2. Women and Health
3. Socio- Economic and Cultural Status of Women
4. Women and Environmental issues
5. Women and HIV / AIDS
6. Violence against Women
7. Empowerment of Women
8. Gender Mainstreaming",Education,Research,Women's Rights,2,#79A5AE
Andhra Pradesh,15.9128998,79.7399875,15.7128998,79.6399875,1,"Centre for women's Studies, Sri Venkateswara University",https://www.svuniversity.edu.in/Master/Extensionstudies.html,Academic/ Research Centre,NA,NA,"Capacity building and awareness activities centred on Health and Hygiene, Population Education, Social Empowerment of Women",Education,Advocacy,Research,3,#79A5AE
Arunachal Pradesh,28.2179994,94.7277528,28.2179994,94.7277528,0,Turbu Daleh Multipurpose Cooperative Society,,NGO,2001,,"1. Community mobilisation, empowerment and outreach activities for High Risk Groups
2. Healthcare services like STI Management, ICTC referral and Testing, Free Condom Distribution and sensitization and linkages with ART, STI Clinic, RNTCP (DOTS), PPCTC etc.",HIV/AIDS prevention,sexual and reproductive health,,4,#79A5AE
Arunachal Pradesh,28.2179994,94.7277528,28.0179994,94.6277528,1,"Women Studies and Research Centre, Rajiv Gandhi University",https://rgu.ac.in/women-studies-and-research-centre/,Academic/ Research centre,2009,ehansingrgu@yahoo.co.in,"1. Research, documentation, and awareness workshops with a focus on Women, Work, and Land rights, Women and Health, Women and Political Empowerment, Indeigenous Knowledge Systems, and Gender Based Violence
2. Gender sensitisation programs at educational institutes and other spaces like Engaging Men in Promoting Gender Equality
3. Extention programs with other organisations on rural women's experiences along with capacity building and skill development trainings
4. Awareness campaigns on women's rights and training on gender equality",Education,Gender Sensitisation,Research,5,#79A5AE
Arunachal Pradesh,28.2179994,94.7277528,28.0179994,94.6777528,2,Arunachal Pradesh Women's Welfare Society,https://www.apwws1979.org/,NGO,1979,apwws1979@rediffmail.com,"1. Advocacy for women's rights, awareness campaigns and sensitisation programs on issues like women's rights, land rights and Protection of Children from Sexual Offences (POSCO) Act, 2012
2. Water and Sanitation Awareness Project (WATSAN)
3. Recommendations and participation in policy making processes with a focus on gender justice and equality
4. Action Research for women's development and awareness campaigns against issues like Child Marriage/Forced Marriage, and Polygamy.",Advocacy,Women's rights,Research,6,#79A5AE
Arunachal Pradesh,28.2179994,94.7277528,28.0179994,94.7277528,3,Oju Welfare Association,http://owaap.org.in/index.php,NGO,1979,"
0360 235 1043","1. Shishu Greh: institutional and non institutional support to orphan children
2. Creche for working women's children
3. Short Stay Home for survivors of Violence Against Women
4. Family Counselling Centre providing preventive counselling and rehabilitative services for women in distress
5. Education complexes for underprivilege children and adult education
6. State Resource Centre Arunachal Pradesh: Action research, literacy training, production, dissemination, and translation of literary materials for adult education
7. Targeted Intervention project with a focus on HIV transmission prevention. ""highest-risk groups, namely truckers, commercial sex workers (CSWs), men who have sex with men (MSMs), and intravenous drug users (IDUs)""",Support services,mental health,HIV/AIDS prevention,7,#79A5AE
Arunachal Pradesh,28.2179994,94.7277528,28.0179994,94.7777528,4,Hidden Land Exploration Society,,NGO,2002,,"1. Targeted Intervention on Harm Reduction Services. 
2. Community outreach and mobilization through Peer led approach.
3. Abscess management, STI Management, Harm Reduction Counselling, referral and linkages to various Govt. and Social health facilities like ICTC, ART, DOTS, STI Clinic, PPTCT, VIHAAN, ANP+ etc.",HIV/AIDS prevention,mental health,support services,8,#79A5AE
Assam,26.2006043,92.9375739,26.2006043,92.9375739,0,Xukia,https://www.facebook.com/xukia.assam/,Non-profit Organisation,2014,xukia2014@gmail.com,"1. Advocacy and activism for LGBTQIA [plus] rights 
2. Gender sensitisation through discussions and film screenings at educational institutes",Advocacy,LGBTQ rights,gender sensitisation,9,#79A5AE
Dibrugarh,27.4705,94.9125,27.4705,94.9125,0,"Centre for Women's Studies, Dibrugarh University",https://dibru.ac.in/centre-for-womens-studies/,Academic/ Research centre,1998,"0373-2370194, nasmeemakhtar@gmail.com","1. Post-Graduacte Certificate course in Women's Studies (2005-20015)
2. Post-Graduacte Diploma course in Women's Studies 
3. Master of Arts in Women's Studies
4. Set up 43 Women's Studies Cell in various colleges affiliated to Dibhrugarh University
5. Research work, documentation, archival, discussions, training programs, community outreach and extention programs with a focus on Violence Against Women, oral history, Gender Sensitization, advocating women’s rights, and varied experiences of women.",Education,Research,women's rights,10,#79A5AE
Assam,26.2006043,92.9375739,26.2006043,92.9375739,0,"Chandraprabha Saikiani Centre for Women Studies, Tezpur University",http://www.tezu.ernet.in/wsc/about-us.php,Academic/ Research centre,2009,hodwsc@tezu.ernet.in,"1. Post-Graduate Diploma course in Women's Studies
2. Doctor of Philosophy in Women's Studies
3. Elective courses offered under Choice Based Cresit System: Introduction to Women's Studies, Women and Digital Literacy
4. Gender sensitization, capacity building and skill development training programs, awareness programs and community outreach programs on women's rights and gender equality",Education,Research,women's rights,11,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,92.8375739,1,"Women's Studies Research Centre, Gauhati University",https://www.gauhati.ac.in/academic/arts/womens-study#nav-10,Academic/ Research centre,1989,pollyvauquline@gauhati.ac.in,"1. Master of Arts in Women's Studies
2. Master of Philosophy in Women's Studies
3. Doctor of Philosophy in Women's Studies
4. Certificate course in Gender Studies with a focus on gender socialisation, gender analysis framework, gender based violence, women, health, and labour, gender, citizenship rights, and media representation, women's movement, and feminist research methodology
5. Research, workshops, and discussions on women's issues",Education,Research,women's rights,12,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,92.8875739,2,NEThing,https://www.nething.org/,Collective,,hi@nething.org,"1. Feminist Learning Centre: 
   1.1. Feminist Participatory Action Research with a focus on climate justice and labour's rights
   1.2. Training and workshops with a focus on women’s participation on governance and politics, women’s property rights, women’s rights to land and natural resources, labour rights, violence against women, women and law.
   1.3. Documentation and archival of women's narratives under the Feminist Learning Centre
2. Creative Collective: workshops, performances, screenings, exhibitions, and other programs for writers, artists,and social activists to discuss society and politics
3. We Write, We Speak: workshops and discussions to further the feminist discourse",Research,Advocacy,Women's rights,13,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,92.9375739,3,Drishti: A Queer Collective,https://www.facebook.com/DrishtiAQueerCollective/,Community Organisation,2021,drishtiaqueercollective@gmail.com,"1. Advocacy, awareness campaigns, and discussons for the rights of queer individuals. 
2. Community building",Advocacy,LGBTQ rights,,14,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,92.9875739,4,"Xobdo: Dialogue, Dignity, Movement Foundation",https://www.instagram.com/xobdo_assam/,Non-profit Organisation,2018,,"1. Advocacy, awareness campaigns, and discussions for the rights of LGBTQIA [plus] identifying people with a focus on legal awareness, preventing violence and discrimination.
2. Community building",Advocacy,LGBTQ rights,,15,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,93.0375739,5,"Lambda, IIT Guwahati",https://www.facebook.com/lambdaiitg/,Community Organisation,2018,lambdaiitg@gmail.com,Support group for LGBTQIA+ people in the IIT Guwahati campus.,Advocacy,LGBTQ rights,,16,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,93.0875739,6,Xomonnoy,https://www.facebook.com/Xomonnoy/,Non-profit Organisation,2018,xomonnoy@gmail.com,"1. Peer counselling and awareness programs on legal rights
2. Mental health, sexual health and legal aid referrals
3. Networking and monthly community meet-ups",Mental health,support services,legal aid,17,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,93.1375739,7,All Adivasi Women's Association of Assam,,Community Organisation,,,Advocacy and campaigns for Adivasi women's rights,Advocacy,women's rights,,18,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,93.1875739,8,Sexuality and Gender Equality (SAGE): The Barak Queer Collective ,https://www.facebook.com/Sagethebarakqueercollective/,Community Organisation,2021,sagethebarakqueercollective@gmail.com,"1. Documention of queer experiences from the Barak valley 
2. Advocacy for queer rights
3. Sensitisation campaigns through webinars and discussions",Advocacy,LGBTQ rights,gender sensitisation,19,#79A5AE
Assam,26.2006043,92.9375739,26.0006043,93.2375739,9,North East Network (NEN),https://northeastnetwork.org/,NGO,1995,nen@northeastnetwork.org,"1. Workshops, awareness campaigns, and gender sensitisation programs addressing Gender Discrimination and Violence Against Women
2. Capacity building training, leadership skills program, and discussions on gender, identity, land rights, women's rights. 
3. Advocacy and training programs with a focus on natural resource management and livelihood",Capacity building,Women's rights,Advocacy,20,#79A5AE
Assam ,26.2006043,92.9375739,26.0506043,92.7875739,10,Omeo Kumar Das Institute of Social Change and Development,http://www.okd.in/,Academic/ Research centre,1989,dkdscd@yahoo.co.in,"1. Research projects on Gender Studies
   1.1. Women and Economy in Assam: Liberalization and Women Accessibility to Market
   1.2. Making Women Count for Peace: Gender Empowerment and Conflict in South Asia",Gender,Education,Research,21,#79A5AE
Bangalore,12.9715987,77.5945627,12.9715987,77.5945627,0,Queer Archive for Memory Reflection and Activism ,https://qamra.in/,Resource Group,NA,qamraarchive@qamra.in,"Interview series, queer archiving workshops and talks",Digital Archive,Advocacy,LGBTQ Rights,22,#79A5AE
Bihar,25.0960742,85.3131194,25.0960742,85.3131194,0,Dostanasafar ,https://www.facebook.com/dostanasafar.bihar,Community Organisation,2010,dostanasafar@gmail.com,"1. Advocacy for the rights of transgender and hijra community in Bihar
2. Sensitisation programs",LGBTQ rights,Advocacy,gender sensitisation,23,#79A5AE
Chandigarh,30.7333148,76.7794179,30.7333148,76.7794179,0,"Department cum Centre for Women's Studies and Development, Panjab University",https://cwsd.puchd.ac.in/,Academic/ Research centre,1987,,"1. Master of Arts in Women Studies
2. Doctor of Philosophy in Women's Studies
3. Training and interdisciplinary programs with a focus on development studies and human rights law
4. Gender senstisation and women's empowerment programs",Education,Gender sensitisation,Research,24,#79A5AE
Chattisgarh,21.2786567,81.8661442,21.2786567,81.8661442,0,"Centre for Women's Studies, Pt. Ravishankar Shukla University",https://www.prsu.ac.in/academic-departments/utd-departments/Centre-for-Womens-Studies/9,Academic/ Research centre,2001,,"1. Gender sensitisation programs and awareness campaigns on issues such as Dowry practice, Gender Based Violence, Women's rights and legal protection
2. Counselling centre for women
3. capacity building, skill development programs, and self defence training workshops",Gender sensitisation,support services,capacity building,25,#79A5AE
Chattisgarh,21.2786567,81.8661442,21.0786567,81.7661442,1,Women Studies for Development Centre,https://ggu.ac.in/gguold/womens_studies_development_centre.html,Academic/ Research centre,2005,,"1. Seminars, workshops, conferences, information dissemination, training, and consultancy with a focus on Gender sensitisation, equality, and gender justice
2. Research",Gender sensitisation,research,capacity building,26,#79A5AE
Chhattisgarh,22.0796545,82.1409152,22.0796545,82.1409152,0,"HAQ: Queer Alliance, Hidayatullah National Law University",https://www.facebook.com/allianceforqueers/,Community Organisation,2017?,hnlu.aq@gmail.com,Advocacy and campaigns for queer rights,Advocacy,LGBTQ rights,,27,#79A5AE
Chhattisgarh,22.0796545,82.1409152,21.8796545,82.0409152,1,LGBTQ Chhattisgarh,https://www.instagram.com/lgbtqchhattisgarh/?hl=en,Community Organisation,2019,,"1. Advocacy for the rights of GSM
2. Sensitisation workshops and other cultural events like Queer flash mobs",LGBTQ rights,Advocacy,gender sensitisation,28,#79A5AE
Chhattisgarh,22.0796545,82.1409152,21.8796545,82.0909152,2,Mitwa Samiti,,NGO,,,"1. Advocacy for the rights of the hijra community
2. Sensitisation programs and capacity building programs
3. Awareness campaigns on HIV / AIDS",Capacity Building,HIV/AIDS prevention,advocacy,29,#79A5AE
"Dadar West, Mumbai",19.02641807,72.84071323,19.02641807,72.84071323,0,Men Against Violence and Abuse (MAVA),http://www.mavaindia.org/,NGO,1993,mavamumbai@gmail.com,Gender sensitization and training program among young men,Gender sensitisation,Advocacy,Capacity Building,30,#79A5AE
Delhi,28.7040592,77.1024902,28.7040592,77.1024902,0,Nirantar,https://www.nirantar.net/,NGO,1993,nirantar.mail@gmail.com,"1. Women's Education and Empowerment.
    1.1 Annual Literacy and Empowerment training
    1.2. Knowledge creation and educational  material in regional language for and by newly literate women.
    1.3. Promoting adult women's literacy and education
    1.4. Supporting women's collectives and building strategic alliances in Bihar
2. Young People's Education.
3. Learning Resource Centre
    3.1. Course on Young People, Sexuality, & Rights (Yuva, Yaunikta, aur Adhikar)
    3.2.  “Sexuality: Looking in, Looking out” Course
4. The Third Eye
     4.1. Online program to explore new themes.
     4.2. Offline training and experiential learning for organisations",Education,capacity building,,31,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.0024902,1,Nazariya: A Queer Feminist Resource Group,https://nazariyaqfrg.wordpress.com/,Resource Group,2014,nazariya.qfrg@gmail.com,"1. Case Work and Helpline 
    1.1. Peer counselling 
    1.2. Casework with queer women and trans persons facing violence
2. Resource Centre and archiving
    2.1. Our Lives, Our Tales: A talk series by queer people in the queer movement.
3. Capacity Building
    3.1. Workshops and seminars in colleges.
    3.2. Working with other organisations as resource persons",Capacity Building,Research,LGBTQ rights,32,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.0524902,2,Sangini (India) Trust,https://sanginiindia.wordpress.com/,NGO,1997,sangini97@hotmail.com,1. 24/7 emergency response services LBT individuals ,LGBTQ rights,support services,,33,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.1024902,3,ABVA,http://aidsbhedbhavvirodhiandolan.blogspot.com/2021/08/,Non-profit Organisation,1988,aidsbhedbhavvirodhiandolan@gmail.com,"1. Advocacy for the rights of People Living with HIV (PLHIV), Women in Prostitution, Drug Users, and the LGBT Community
2. Research",HIV/AIDS prevention,research,LGBTQ rights,34,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.1524902,4,Gender at Work India,https://genderatwork.org/genderatwork-india/,NGO,2015,media@genderatwork.org,"1. Gender Equality Consulting with other organisations
2. Gender Action Learning (GAL) programs: Addressing women's rights and gender equality with development organisations and institutions
3. Grassroot Women Leading Change Project: focus on women's rights and addressing violence against women and children
4. Workshops and campaigns to make the workplace more inclusive: capacity building, mentoring, networking, research on gender equality practices",Gender sensitisation,capacity building,research,35,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.2024902,5,Naz Foundation,https://www.nazindia.org/,NGO,1994,info@nazindia.org,"1. Care and support services to children living with HIV and AIDS (CHLA)
2. Young People's Initiative focused on development of female leadership and empowerment of economically disadvantaged adolescent girls.
3. LGBTQIA [plus] initiative
    3.1. Counselling and referral services
    3.2. Supporting individuals in accessing their medical services rights.
4. Partnership building with other organisations, advocacy, and training and awareness sessions.",Support services,HIV/AIDS prevention,advocacy,36,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.2524902,6,Sakhi,,Community Organisation,1991,,"1. Advocacy, campaigns, support, and discussions for the rights of Lesbain and Queer women
2. Research",LGBTQ rights,support services,research,37,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.3024902,7,Talking About Reproductive and Sexual Health Issues (TARSHI),https://www.tarshi.net/,NGO,1996,tarshiweb@tarshi.net,"1. Interactive Voice Response System: an infoline dedicated to give information on a range of topics related to sexual and reproductive health, HIV, contraceptive choices, sexual and gender identities, violence, safety and pleasure in a pre-recorded format.
2. eLearning short and long courses on Sexual and Reproductive Health and Rights (SRHR) and Comprehensive Sexuality Education (CSE). 
3. Training and workshops on sexuality SRHR, and counselling skills.
4. Public education activities, campaigns, and advocacy on CSE",Gender sensitisation,sexual and reproductive health,advocacy,38,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.3524902,8,Creating Resources for Empowerment in Action (CREA),https://creaworld.org/,NGO,2000,crea@creaworld.org,"1. Feminist Leadership
    1.1. Meri Panchayat, Meri Shakti
    1.2. South Asia Young Women's Leadership and and Mentorship Program
    1.3. SELF (Sports, Expression, Leadership, and Freedom) Academy for young girls and young women
    1.4. New Voices, New Leaders: A resource pool for women leaders from Myanmar, Nepal, and India for social change.
    1.5. Feminist Leadership Movement Building and Rights Institute (FLMBaRI)
    1.6. Ibtida: A leadership development program focused on building the capacity on women-led organisations.
    2. Sexual and Reproductive Rights
    2.1. It's My Body: Advancing SRHR of girls through sports
    2.2. Sexual Rights Initiative advocating social and policy change
    2.3. Sexuality Gender and Rights Institute: residential course on the conceptual study of sexuality. (sexuality, rights, gender, and health, and their interface with socio-cultural and legal issues)
    2.4. Kahi Ankahi Baatein: SRHR issues made available for Hindi-speaking people.
    2.5. Abortion Rights Program
3. Gender Based Violence: Sensitisation campaigns and social change advocacy.
4. Voice and Visibility
    4.1. Disability Sexuality and Rights Online Institute (DSROI), 6 weeks long course on a conceptual study of disability and sexuality, and its inter-linkages with issues of feminism, public health, development, violence, and media and representation, amongst others. 
    4.2. Sex Worker's rights and gender ad sexuality diversity advocacy.",Capacity building,sexual and reproductive health,gender sensitisation,39,#79A5AE
Delhi,28.7040592,77.1024902,28.5040592,77.4024902,9,Jagori,https://www.jagori.org/,Community Organisation,1984,jagori@jagori.org,"1. Gender sensitisation trainings, workshops, study circles.
2. Campaign against Violence on Women
3. Support services for survivors
4. Archival of Feminist history in India",Gender Sensitisation,support services,digital archive,40,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,76.9524902,10,Sangat: A Feminist Network,https://www.sangatnetwork.org/,NGO,1998,sangat.sangat@jagori.org,"1.Capacity Building
   1.1. Feminist Capacity Building Course: Sangat month long course on Gender, Sustainable Livelihoods, Human Rights and Peace. 
   1.2. Two week Hindi course on Gender, Human Rights, Just Governance, Sustainable Development and Women’s Empowerment. 
   1.3. Two week feminist capacity building Bangla course.
   1.4. Two week Tamil course on gender, femininity and masculinity, feminism, patriarchy, violence and law, reproductive rights, communalism, fundamentalism, globalisation and other relevant topics.
2. Campaigns and advocacy for peace, human rights, and against poverty.",Capacity Building courses,,,41,#79A5AE
