genre,title,year,author,publisher,language,format,tags,comments,key,keyword,keyword2,key2,realYear
Literature,Lihaaf / The Quilt,1990,Ismat Chugtai,Adab-i-Latif,Urdu,Short Story,"Lesbian narratives, Fiction",Chughtai was summoned to the court to defend the story after it was charged with obscenity,Desire,desire,lgbtq narratives,LGBTQ narratives,1942
Literature,Prateeksha / Waiting,1990,Rajendra Yadav,,Hindi,Short Story,"Lesbian narratives, Fiction, Romance",An English translation of the story by Ruth Vanita has been included in the book Same-Sex Love in India,LGBTQ narratives,lgbtq narratives,violence,violence,1962
Literature,Gomathi,1990,Ki. Rajanarayanan,Deepam Magazine,Tamil,Short Story,"Trans narrative, fiction, Tamil literature",An important early work in the Tamil literature around queer desire,LGBTQ narratives,lgbtq narratives,desire,desire,1964
Literature,A Story,1990,Bhupen Khakkar,Kriti Magazine,Gujrati,Short Story,"Bisexuality, Kinship, Family",An English translation of the story has been included in the book Same-Sex Love in India,LGBTQ narratives,lgbtq narratives,desire,desire,1968
Literature,Maya Mridanga / Drums of Maya,1990,Syed Mustafa Siraj,Dey's Publishing,Bengali,Novel,"Bengali literature, queerness",The novel is set in rural Bengal of the 1950s,LGBTQ narratives,lgbtq narratives,desire,desire,1972
Literature,Mitrachi Goshta / A Friend's Story,1990,Vijay Tendulkar,,Marathi,Play,"Lesbian narratives, Pre-independence India",Described as one of the first modern Indian plays dealing with same-sex desire,LGBTQ narratives,lgbtq narratives,desire,desire,1981
Literature,Chandana Marangal / The Sandal Trees,1990,Kamala Das,,Malayalam,Short Story,"Lesbian narratives, Fiction, Romance",The story was translated into English as ‘The Sandal Trees’ in 1995 by V.C.Harris and C.K.Mohammed Ummer,LGBTQ narratives,lgbtq narratives,desire,desire,1988
Literature,Trying to Grow,1991,Firdaus Kanga,Trafalgar Square Publishing,English,Semi-autobiographical novel,"Auto-fiction, Queer Disabled narrative",The novel was adapted as a film Sixth Happiness with the author starring as a lead,Disability,disability,lgbtq narratives,LGBTQ narratives,1991
Literature,Padmavati: The Harlot and Other Stories,1992,Kamala Das,Sterling Publishers,English,Anthology of Short Stories,"Short stories, women's narratives",,Desire,desire,violence,violence,1992
Literature,Slide Show,1992,R Raj Rao,Peepal Tree press ltd.,English,Poetry,"Poetry, Modern fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,1992
Literature,Santap,1993,Manab Chakraborty,Imprint: Ananda Publishers,Bengali,Novel,Trans narrative,,LGBTQ narratives,lgbtq narratives,society,society,1993
Literature,Begam Barve,1994,Satish Alekar,,Marathi,Play,"Queerness, fantasies, Marathi theatre",An English translation by Shanta Gokhale has been published by Seagull Books in 2003. The Play has also been performed in Hindi and Gujarati,LGBTQ narratives,lgbtq narratives,desire,desire,1994
Literature,Dust On The Road:,2000,"Mahasweta Devi (Author), Maitreya Ghatak (Editor and translator)",Seagull Books,English,Academic,"Mahasweta Devi, Activism, Bihar, West Bengal",Translated by Maitreya Ghatak,activism,activism,identity,identity,2000
Literature,Sonam,2001,Yeshe Dorjee Thongchi,Spectrum Publishers,"Assamese, English",Novel,"Women's narrative, Culture, Arunachal Pradesh","Published in Assamese in 1981, published in English in 2001",Culture,culture,desire,desire,2001
Literature,Myself Mona Ahmed,2001,Dayanita Singh,Scalo,English,Visual Novel,"Trans lives, queerness","It is a mix of photobook, biography, autobiography and fiction",LGBTQ narratives,lgbtq narratives,identity,identity,2001
Literature,The Man Who Was a Woman and Other Queer Tales from Hindu Lore,2001,Devdutt Pattanaik,Routledge,English,Fiction,"Fantasy, Mythology, Queerness",,LGBTQ narratives,lgbtq narratives,religion,religion,2001
Literature,Inside Gayland,2001,Rajesh Talwar,Kalpaz Publication,English,Play,"Queerness, Satire",,law,law,lgbtq narratives,LGBTQ narratives,2001
Literature,Ladies Coupe,2001,Anita Nair,,English,Novel,"Women's narratives, Fiction, Culture",The book was republished in 2004 by St. Martin's Griffin and in 2015 by Penguin Books,desire,desire,identity,identity,2001
Literature,One day I locked my Flat in soul city,2001,R Raj Rao,Harper Collins India,English,Anthology of Short Stories,Modern fiction,,desire,desire,lgbtq narratives,LGBTQ narratives,2001
Literature,A Married Woman,2002,Manju Kapur,Faber & Faber,English,Novel,"Lesbian narratives, fiction",,desire,desire,lgbtq narratives,LGBTQ narratives,2002
Literature,The Boyfriend,2003,R. Raj. Rao,Penguin India,English,Fiction,"Gay narratives, fiction",,desire,desire,lgbtq narratives,LGBTQ narratives,2003
Literature,Blasphemous Lines For Mother,2005,Kynpham Sing Nongkynrih,India International Centre Quarterly,English,Poem,"Khasi, poetry, Family","Originally published in Khasi, translated into English by the author",Feminist politics,feminist politics,identity,identity,2005
Literature,These Hills Called Home: Stories from a War Zone,2006,Temsula Ao,Zubaan,English,Anthology of Short Stories,"Feminist History, Nagaland, Fiction",,Feminist historiography,feminist historiography,violence,violence,2006
Literature,Loving Women: Being Lesbian in underprivileged India,2006,Maya Sharma,Yoda Press,English,Book,"Lesbian narratives, Sexuality, Rural India",,identity,identity,lgbtq narratives,LGBTQ narratives,2006
Literature,Dohri Zindagi,2007,Vijaydan Detha,Yatra Booksa,Hindi,Short Story,Lesbian narratives,,LGBTQ narratives,lgbtq narratives,desire,desire,2007
Literature,The Weave of My Life: A Dalit Woman's Memoirs,2008,"Urmila Pawar, Maya Pandit (translator)",Stree,"Marathi, English",Memoir,"Dalit women's narratives, Memoir",Originally published in 2003 in Marathi,Caste,caste,feminist politics,Feminist politics,2008
