no,title,artform1,artforms (new additions) ,artform,duration,plot,rationale,keywords,keyword1,keyword2,keyword3,links,category
1,Hum Jinns by Tirana Sengupta,"
Fusion of Bharatnatyam and urdu poetry
A project led by a poet, a dancer, and two filmmakers
",,Classical Dance,"
5 Minutes 27 Seconds","The performance ""Hum Jinns Parast,"" an Urdu phrase meaning embodying multiple identities or spirits, is a collaborative work by Maniza Khalid (poet), Tirna Sengupta (dancer), Ghania Siddiqui (director), and Talat Shakeel (sound designer). This piece explores the complex layers of identity within individuals and their efforts to reconcile them. The artists delve into the experiences of LGBTQ+ individuals in a society where their identities are frequently marginalized. Words such as khabeeth, haram, besharami, and behudgi—terms used in Islamic culture to label and dehumanize LGBTQ+ individuals—are employed, while the performance broadens its scope to address society as a whole, not limited to any single religion. Through dance, music, and personal narratives, the creators challenge cultural norms and seek to redefine what it means to be ""normal."" 





","The artist challenges fixed boundaries within the performing arts by, for instance, performing Bharatnatyam on a terrace without classical music, thereby questioning the current political segregation of languages based on religion and region. The fusion of Urdu and Bharatnatyam is both unique and serves as a political statement against the polarization of the art form and its internal hierarchy. Through Urdu poetry and dancing to the rhythm of spoken words, sound in the film is used to explore and question how the Muslim community and society at large view the LGBTQ+ community.",Urdu+dance+challenging the religion+fusion+folks dance,religion,Fusion,Interactive,"Hum Jinns
https://homegrown.co.in/homegrown-voices/watch-an-indian-short-film-breaking-down-gender-stereotypes-through-bharatnatyam",Rewritings
2,Cities and Lovers  by Tirana Sengupta,"
Bharatnatyam, storytelling with modern music",,Classical Dance,6 Minutes 19 Seconds,"This performance centers on a female body who defies societal expectations, experiencing love, abuse, and resilience. In the video, the artist performs Bharatnatyam in a public space, blending poetry with storytelling forms. The artist dedicates this work to those who choose love over identities of caste, class, religion, and region, also addressing same-sex love within these stories. Through storytelling, the piece explores love in all its forms and how society uses violence and sectarianism to suppress it. This story is not limited to the experiences of cisgender women but also examines how rigid, violent, and unequal gender norms impact marginalized identities.






","Performing Bharatnatyam in a public space, rather than in an auditorium, challenged the set norms of how certain arts should be viewed. This piece makes the art form more accessible to the general public. The interaction between the artist and the audience was fascinating for us- esp the way in which the audience of mostly young males from the community stare at the performer with curiosity and the artist with her art look back to them with questions, in a funny way, weirdly. Yet, the woman artist is occupying and reclaiming public space and while also sharing her experience through conversation with her friend. ",Breaking boundaries+folk dance+poetry+ folks dance and urdu fusion+diverse expression,caste,religion,LGBTQIA+,Cities and Lovers,Rewritings
3,Mehngai dayain khai jat hai by Rakesh Kumar NSD,"Launda Naach , Folk dance Bihar",,Folk Dance,4 Minutes 32 Seconds,"लौंडा नाच भारत के बिहार यू.पी (पूर्वांचल) राज्य की एक प्रसिद्ध पारम्परिक लोक नृत्य शैली है जिसमें एक पुरुष कलाकार सुंदर स्त्री का वेश धारण कर नृत्य प्रस्तुत करता है !


Translation: Launda Naach is a famous traditional folk dance style of Bihar UP (Purvanchal) state of India in which a male artist disguises himself as a beautiful woman and dances. 

This piece performed by student Rakesh Kumar SD in National School of Drama, Delhi. The performer mixes the Launda naach with the song  ""Mehangai Dayan Khaye Jaat hai "" which presents class struggle by the song it is a critism of government and political power on mehngai. The costume that the artist has worn clothes which represents bihari culture and challenges the minimalism of upper class and caste aesthetics. In the last other folks from the audience joined him to perform with him and the hooting shows how people where resonating with the lyrics which is the reality of a lot of people in India currently. ","In this performance what stood out for us was how the artist and the audience intreactated with each other. From people joining the performer on stage; Four male-bodied individuals enjoying the performance with the artist who is also a male bodied person. This performance reclaims an urban and metropolitan city like Delhi where a regional art form and region like Bihar has been looked down upon. In the end,  many people join the artist and dance on the song which goes beyond sexualization and satirizes the government creating a sense of community. Historically this folk art form has been perfromed by oppressed caste people and the name change from naach to launda naach is a strategy used by the upper castes and classes of Bhojpuri society to demean a popular folk tradition associated with marginalized communities. This renaming, along with the substitution of 'Bidesiya' for Naach, serves to both stigmatize the art form and erase its complex themes of social critique.",Breaking boundaries+folk dance+poetry+ folks dance and urdu fusion+diverse expression,humour,interactive,regional,Launda Naach by Rakesh Kumar,Space
4,कव्वाल साहब के पसीने छूट गए नाज़ वारसी से मुकाबला करने मे-Naaz Warsi Vs Rizwan Jafri, Qawwali Muqabla ,,Music,18 minutes 21 seconds ,"In a captivating qawwali competition, Naaz Warsi, a female qawwal, faced off against Rizwan Jafri, a male qawwal. The performance, held before a predominantly male audience, challenged traditional gender roles and expectations. The qawwals sang passionately about love in its various forms, and breaking the traditional form of sufi songs they are doing shayari in between. A captivating jugalbandi, or musical duet, between the two showcases their exceptional skills. Naaz Warsi's vibrant attire makes her stand out in the crowd, captivating the audience. The performance serves as a powerful platform for challenging traditional norms and promoting inclusivity through the art of qawwali.","This performance challenges the exclusionary practices prevalent in dargah spaces, where hereditary learning often restricts access to women and non-inherited performers. The outright prohibition of women Qawwals from performing at traditional sites is a systemic issue enforced through a code of conduct dictated by the heads of the shrine. This political rationale underscores the importance of their performances as a means to challenge patriarchal norms and demand equal opportunities for women in the qawwali tradition. By performing in unconventional settings and asserting their right to be heard, these artists are contributing to a broader movement towards greater inclusivity and gender equality within the cultural landscape.







","Female कव्वाल+uttar pradesh, gender norm, respect, dargah system, indian, modern",religion,social commentary,community,https://www.youtube.com/watch?v=tZUCYnwfHIM,Rewritings
1,"""FAR... WITHIN"" by Laksha (Lakshya), produced by Pivot Arts",Dance film ,Film ,Film,36 Minutes 15 seconds ,"""FAR... WITHIN"" is a contemporary dance film by Laksha (Lakshya) that explores themes of identity, belonging, and self-discovery. Through dance, Laksha the transwoman artist navigates the tension between their personal desires and societal expectations. The film showcases their unique dance style, blending contemporary and traditional Indian dance forms. It explores themes of isolation, loneliness, and the search for connection, creating a visually stunning and emotionally resonant experience.

""Our production ""FAR... WITHIN"" is a dance film by Laksha Dantran. The film takes the perspective of a transwoman who has a great dream: she sees the journey of creation, human life, and society. Her dream takes her to the Big Bang, to the first living organisms, and finally to the first primitive human beings. Amid social distancing and the COVID pandemic, she urges all to reflect and take steps. We have a role to return to our nature: we must take care of our Earth and one another."" - Laksha Dantran
","The artist used the art to make the audience aware about the sufferings and violence agains the trans* community but especially towards transwomen. Using imgination and dream as content theme to discover how human reach the stage where we are so intolerent towards difference and diversity. Where nature within itself holds diversity with dignity. Through the body movements, props, narration and rythms the artist questions the human greed for power and thats how they created a unequal society on the basis of identites this world have become has come so far within that they froget about people like her and the community she comes from. Artist through her personal experiences questions about the mental distancing the trans* community has to go through in this cisgender/cisheretonormative world.  The artist use metaphor of mother earth and nature as finding one's true self. It feels like the transwoman and her sufferings and dream is interchangeable with the nature earth. She created the production by her self during the covid times which is active political choice. The using non-living organism to talk about human life using props like diverse costume and technological effects.","Art form mixing, queer, trans*folks, dance, body movement, desire, descrimination, dream",LGBTQIA+,identity,storytelling,"https://www.youtube.com/watch?v=Rngs0UOt6rg

https://www.dancingtrans.com/videos",Body
6,Bhaagi hui ladkiyan by Aagaaz theatre directed by Dhawni Vij,"Theatre 

",Feminist Theatre ,Feminist Theatre,90 Minutes ,"Bhaagi Hui Ladkiyaan is a theatrical exploration of the lives of four young Muslim women residing in Nizamuddin Basti. The play delves into their daily struggles, aspirations, and the complex interplay between their private and public identities. The women, through physical theater and storytelling, confront societal expectations, gender roles, and the limitations of their domestic spaces. By shedding their veils and embracing their true selves, they challenge traditional norms and seek liberation in the outside world. The play ultimately highlights the tension between self-perception and external judgment, as the women navigate the complexities of their identities within their community. ","The play is fluid in essence, with actors sharing personal stories each time the narration changes related to current issues surrounding gender norms, sexuality, freedom, and dreams. They incorporate the lived experiences of intersectional identities like religion, gender, class, and region, bringing voices from the ground level. By using everyday essentials such as toothpaste, bras, and mugs, the play reflects on the idea of the mundane items but gendered. This play in its core challenges the traditional notion of theater as an art form, blurring the lines between audience and artist where the performer constantly and consiously intreact with the audience . The audience's interactive elements throughout the play are particularly striking, culminating in a powerful finale where they invited on the satge and put the spark paper where they feel resonating with personal narratives of the artist navigating gender, religion, and class identities while navigating Nizamuddin mohalla and symbolises that a part of you in the Nizamuddin space. Using veil as a prop and symbol to blurr the idea of public and private. In between the play artist use silence as a tool for reflection and communication which highlights the importance and relevance of time. Using everyday mundane essential like pad, bra, crockeries, broom etc as props  to symbolize that is it everyone's story. ","I come from the same community, I have watched this play twice. Saw the last live performance of the play in Kiran Nadar  Museum of Art theatre festival at Sunder Nursery in New Delhi from. 14 to 20 October 2024",interactive,regional,religion,https://www.facebook.com/aagaaztheatre/videos/%E0%A4%AD%E0%A4%BE%E0%A4%97%E0%A5%80-%E0%A4%B9%E0%A5%81%E0%A4%88-%E0%A4%B2%E0%A5%9C%E0%A4%95%E0%A4%BF%E0%A4%AF%E0%A4%BE%E0%A4%81-teaser-meta-2019/1889809354479756/,Body
7,"Coloured and Choosing by Aruna Ram Ganesh

2016 
An Immersive Experience of Gender


",Experiential Installation,,Immersive Theatre,13 Minutes 8 seconds ,"This performance is a experiential installtion for the audience where they also become the artist of the performace using 'blindfold' theme to understand gender thorugh touch, body movements, laugh, walk, breath, and music it is like stripping all the idea about gender we have learnt from the society. The performance stand in the middle of the stage and all the four other performer played with the blindfloded audience to understand what gender the artist has? Each rendition is different and how its like a subjective game almost. Coloured and Choosing has been devised by Lochan Baratakke, Rijul Ray,
Sudha Sudanthi and Vrinda Misra, directed by Aruna Ganesh Ram.","Using personal narratives through diverse props like sounds, object, antcedotal matrieal, and music. The idea of the blindfold feels like society's binary blindness about gender from our childhood. Audience present affect the performance as they become the object of the performnce while simultaneously being part of the performance. The line between the audience and the performers is fluid. The  performer questions the whole existence of gender as power structure. This performnce question the very idea of gender as social tool to control one's own desire and expression, how we see and understand gender everyday by looks, hair, names, pronouns, femininity, musclinity in conclusion everything which we see in binary. Ask audience to experience and redefine the how they see gender by non-tangiable things like breath.","Body, desire, love, intreaction, live, Indian, movement ",desire,LGBTQIA+,identity,"https://www.youtube.com/watch?v=YDAH4Bp3VU4
https://www.arunaganeshram.com/theatre.html",Body
8,Come eat with me Sri Vamsi Matta,Play,,Immersive Theatre,1 Hour 30 Minutes ,This performance is an installtion which asks the audiemce to sit and eat with the artist and experience the caste based food practices which are historically discrimanted against. The play uses the element of sitting in  a circle and eating food while sharing the oral history of dalit food through storytelling of the lived experience of the artist who comes from the same community. The performance demonstrates how food which is an everyday part of our life can be a tool for discrimination but also site of resistance through this kind of play., Establishing the relationship between food and caste and centring 'oral histories' often seen as secondary and untrustworthy; this performance art challenges the fixed notion of primary facts and the notion of what is 'real' history is. Sitting in a circle and eating food together is a chance to be an active ally of anticaste movements. The intreaction and first hand experience of audience being a part of this performance create space for active and sincre caste allyship and critical self reflection. ,"dalit, caste, food, performance, discriminmation, live, India",caste,social commentary,collective memory,"https://www.youtube.com/watch?v=kb58j7kcJh0&t=142s
https://thelocavore.in/2022/08/11/sri-vamsi-mattas-come-eat-with-me-or-to-be-dalit-and-eat/",Language
9,Kaali Ghati,Play,,Theatre,Not mentioned ," ""Kaali Ghadi"" is the tale of all the godforsaken affairs of men, the plot twists and turns highlighting all the filth and toxicity in a not so pompous hypothetical village in UP, the blatant social evils existing in our society at present and the merry go round of the omnipresent politics, but garnishing all this is the celebration of emotions."" -  sbsec.org
","Men sharing emotional vurnabilites on stage with men by venting and with eye contact with the audience. Two male bodied people sharing intimate moments stand out especially  infront of the Delhi Univerity Faculty and students in a heretonormative setting. Challenging the notion of masculinity through using body movements, touch and emotion. ","Masculinity, India, intimacy, college, performance, live, love, body",interactive,collective memory,desire,https://www.youtube.com/watch?v=V7F4H9sYxJk,Body
10,"Rapper Sumeet Samos closed 'Queeristan - Caste and Queerness' with his powerful verses on Dalit oppression and caste discrimination. ",Rap,,Rap,23 Minutes and 8 seconds ,"Rapper Sumeet Samos closed 'Queeristan - Caste and Queerness' with his powerful verses on Dalit oppression and caste discrimination. 
The performance contains raps of lived experiences of Dalit live in India raising concerns of violence, dreams, desire and questions youth from the Dalit community The artist used the platform to highlight the issue of Dalit students institutional murder, the idea of India: Mera Bharat mahan and place of Dalit community within it how they face everyday discrimination. ","Non-linear storytelling mixed with fludity of experiences. Uses personal narratives and lived experinces of Dalit lives and diverse languages like hindi, english, Odiya. Creating space for imagination and dream, hope about the identiy and the community. Centring the Dalit and performing using just voice and beat is captivating while questioning the politcs of skin colour and who lives hold dignity in this casteist society like india. In the last rap Sumeet  higlights the politcs of merit and reservations  and interrogates the audeince about its origin and basis. A Dalit cross questioning the elite system vis a vis the audience is a radical queer resistive act. ","community, resistance, live, performance, songs, caste, dalit, Delhi",caste,regional,resistance,"https://www.youtube.com/@sumitsamos9750/videos
https://www.youtube.com/watch?v=4Ye_ZfQJsgY&list=PLFfq2zuXmgla4-QuItwPcI-1SeBoPWVj8&index=6",Language
