name,artform,duration,summary,rationale,keywords,limitations,link,
"Not Limited by Time ft. Nrithya Pillai
Nattuvangam and Vocal: Ananthashree ",Dance,20 Minutes 46 Seconds ,"From Nrithya Pillai:
""I perform my Bharathanatyam to imagine new regimes of mobility and equity for women like me from the hereditary families that are the original custodians of the bharathanatyam tradition. A large part of this has to do with the retrieval – through largely oral sources– of dance repertoire of historical import that was created by and for my direct ancestors. I perform such pieces not only as a counterpoint to the acts of upper-caste appropriation and stewardship, but also to acknowledge the deep levels of mediation through which I myself have received the very practice of Bharatanatyam, across the deep vectors of reform discourse, aesthetic refashioning, and moral and cultural nationalisms. 
Built upon the thematic of courtly love, as opposed to nationalist neo-Hindu devotional modes, my reclaiming of my community’s repertoire, asserts old familial genealogies into the dystopic spaces of capitalism where today’s corporate-funded “classical” dance thrives for the upper-castes. I perform dance compositions that were created or revivified for the new elites by hereditary dance-masters (nattuvanars) in my family – except that now, I perform these through my Bahujan body."" 

""Moreover, my performance is also rooted in my contemporary anti-caste stance through the inherited, distinctly modern vocabulary of the reinvented Bharathanatyam, shifting our focus away from the nationalist, religious content that dominates public representations of the art today. Through these interventions ,I hope to challenge basic understandings of the history and social constitution of Bharathanatyam as a corporeal and cultural practice.""","The artist's work is a powerful reclamation of traditional Bharatnatyam, reimagining it through an intersectional lens. By drawing from oral histories and moving away from fixed categories like nationalism and devotion, the artist politicizes the form. The interaction between the two female bodies on stage is particularly striking, fostering a sense of solidarity and community. This performance challenges traditional gender roles and beauty standards, celebrating diverse bodies and voices. By centering intersectional identities and breaking norms, the artist creates a space for historically marginalized  body, community, and their perspectives within the realm of classical Indian dance.
Artist singing in between the performance was quite fluid.







","traditonal, challenge, new way, caste, India, modern",Content translation from cohort member who understands Tamil language. Waiting for their response.,https://www.youtube.com/watch?v=iQG1dnPCJ5E,
"Rasasutra: Eternal & Endless


Concept & Direction
SUDARSHAN CHAKRAVORTY

Co- Choreography
RONITA MOOKERJI

Movement Inputs
PARTH BHARADWAJ, PINKI MONDOL & NARESH GUPTA

Live Electronica Music
HYBRID PROTOKOL",Dance,10 Minutes 45 seconds ,"The performance is amalgam of nartya shastra, contemporary dance, and the live eletronica music. Performer explores how contemporary dance practitioners can draw inspiration from the rich heritage of Natyashastra, a 2000-year-old text that outlines the principles of drama and dance. By examining the concepts of vyakta (the manifested) and a-vyakta (the unmanifested), the conversation investigates the nature of rasa (aesthetic emotion) and its ability to transcend physical limitations. The discussion also probes the role of ancestry in contemporary practice, questioning how to honor this heritage while pushing the boundaries of traditional forms. Ultimately, Rasasutra aims to challenge binary thinking and explore the fluidity of identity, movement, and expression in contemporary performance.","Fusion of forms, live electronica music, the whole performance was on rythm no words was there. The intreaction between the performer was intimate, the way body movement was changing with bhav and ras shows the fluidity of the human emotions. Using prop like mat form the narration of performance was stand out. Challenging the fixed boundries and forms notion and higlighting the idea of collabration. Lighting, darkness, and shadow shows the temporality of the emotions and how all of them can coexist and interconnected.","Classical, indian, dance, love, sexuality, staging, light, music, fusion",,https://www.youtube.com/watch?v=U4LLV0TaYY4,
कव्वाल साहब के पसीने छूट गए नाज़ वारसी से मुकाबला करने मे-Naaz Warsi Vs Rizwan Jafri,Qawwali,18 minutes 21 seconds ,"In a captivating qawwali competition, Naaz Warsi, a female qawwal, faced off against Rizwan Jafri, a male qawwal. The performance, held before a predominantly male audience, challenged traditional gender roles and expectations. The qawwals sang passionately about love in its various forms, and breaking the traditional form of sufi songs they are doing shayari in between. A captivating jugalbandi, or musical duet, between the two showcases their exceptional skills. Naaz Warsi's vibrant attire makes her stand out in the crowd, captivating the audience. The performance serves as a powerful platform for challenging traditional norms and promoting inclusivity through the art of qawwali.","This performance challenges the exclusionary practices prevalent in dargah spaces, where hereditary learning often restricts access to women and non-inherited performers. The outright prohibition of women Qawwals from performing at traditional sites is a systemic issue enforced through a code of conduct dictated by the heads of the shrine. This political rationale underscores the importance of their performances as a means to challenge patriarchal norms and demand equal opportunities for women in the qawwali tradition. By performing in unconventional settings and asserting their right to be heard, these artists are contributing to a broader movement towards greater inclusivity and gender equality within the cultural landscape.







","Female कव्वाल+uttar pradesh, gender norm, respect, dargah system, indian, modern","
",https://www.youtube.com/watch?v=tZUCYnwfHIM,
Cities and Lovers  by Tirana Sengupta,Dance,6 Minutes 19 Seconds,"This performance centers on a female body who defies societal expectations, experiencing love, abuse, and resilience. In the video, the artist performs Bharatnatyam in a public space, blending poetry with storytelling forms. The artist dedicates this work to those who choose love over identities of caste, class, religion, and region, also addressing same-sex love within these stories. Through storytelling, the piece explores love in all its forms and how society uses violence and sectarianism to suppress it. This story is not limited to the experiences of cisgender women but also examines how rigid, violent, and unequal gender norms impact marginalized identities.






","Performing Bharatnatyam in a public space, rather than in an auditorium, challenged the set norms of how certain arts should be viewed. This piece makes the art form more accessible to the general public. The interaction between the artist and the audience was fascinating for us- esp the way in which the audience of mostly young males from the community stare at the performer with curiosity and the artist with her art look back to them with questions, in a funny way, weirdly. Yet, the woman artist is occupying and reclaiming public space and while also sharing her experience through conversation with her friend. ",Breaking boundaries+folk dance+poetry+ folks dance and urdu fusion+diverse expression,,Cities and Lovers,
Hum Jinns by Tirana Sengupta,Fusion,"
5 Minutes 27 Seconds","The performance ""Hum Jinns Parast,"" an Urdu phrase meaning embodying multiple identities or spirits, is a collaborative work by Maniza Khalid (poet), Tirna Sengupta (dancer), Ghania Siddiqui (director), and Talat Shakeel (sound designer). This piece explores the complex layers of identity within individuals and their efforts to reconcile them. The artists delve into the experiences of LGBTQ+ individuals in a society where their identities are frequently marginalized. Words such as khabeeth, haram, besharami, and behudgi—terms used in Islamic culture to label and dehumanize LGBTQ+ individuals—are employed, while the performance broadens its scope to address society as a whole, not limited to any single religion. Through dance, music, and personal narratives, the creators challenge cultural norms and seek to redefine what it means to be ""normal."" 





","The artist challenges fixed boundaries within the performing arts by, for instance, performing Bharatnatyam on a terrace without classical music, thereby questioning the current political segregation of languages based on religion and region. The fusion of Urdu and Bharatnatyam is both unique and serves as a political statement against the polarization of the art form and its internal hierarchy. Through Urdu poetry and dancing to the rhythm of spoken words, sound in the film is used to explore and question how the Muslim community and society at large view the LGBTQ+ community.",Urdu+dance+challenging the religion+fusion+folks dance,NA,"Hum Jinns
https://homegrown.co.in/homegrown-voices/watch-an-indian-short-film-breaking-down-gender-stereotypes-through-bharatnatyam",
Akshayambara (2015) | Sharanya Ramprakash & Dramanon,Theatre,90 minutes,"Directed by Sharanya Ramprakash, this Kannada play by Dramanon Theatre discusses how female sexuality remains a subject that has yet to gain traction. An experimental work that premiered in 2015, it deals with the construct of gender performance - and shows how a male artist in streevesha plays Draupadi while in a tradition-defying move, a woman is cast as the Pradhana Purushavesha of Kaurava. What happens to the interpretation of gender when a man plays the streevesha and the purushavesha is played by a woman? Who is the real woman and who is the real man? The play uses the form of Yakshagana as well as ‘modern’ theatrical methods that interrogate the idea of representation of the female body, and consequently the notion of ownership. ","The play strikes a beautiful conversation around bodies, female sexuality and the inversion of gender roles in Yakshagana. It supports what is increasingly a bigger presence of women artists in the dance form. Moreover, Akshayambara’s set includes a Yakshagana stage as well as a green room, both of which are onstage. Both these aspects are big reasons for why this can be selected as a 'queer' performance. The play’s narrative moves between stage and greenroom - and between vesha (costume) and vastava (reality) - thus raising questions to the spectator and their role in the play. ","Bodies, Gender, Dance, Sexuality, Kannada, Yakshagana, Draupadi, Kaurava, Theatre.  ","Issues of not finding enough video footage, except for the brief Vimeo clip here.",https://vimeo.com/531388385 Director info: https://www.instagram.com/sharanya.ramprakash/?hl=en,
Chrysalis (2023) | Artrysis,Drag,NA. ,"Presented by Goa's Ryle Souto i.e. 'Artrysis', Chrysalis is a drag performance. Deeply evocative in nature, it is arguably about the author's queer journey, shown through wacking (dance) in a flower-styled costume - meant to signify 'growth' over time. It is about undoing the limitations and insecurities 'lined' within a body: and blooming in a new way, like a flower. ","Skanky and alternative in nature, it features avant-garde forms of makeup by the artist - and envisions body horror/fantasy in a new way; it is the latter element that possibly separates it from 'usual' drag. Like many drag shows that present queer or trans subjectivities in new ways, Artrysis's particular performance also does this in a playful yet disturbing way. Experimental and performance art in nature, it creates a beautiful blend of interesting form, props, makeup and dance. It is drag that horrors, astounds yet makes one think as an audience. Artrysis themselves see their drag and performance as reflexive: and adaptable to different venues. It is their politics as an indie artist which makes their selection worthwhile.","Drag, Artrysis, Horror, Experimental, Alternative art, Chrysalis, Camp, Performance art.","Drag shows are physical yet rarely digitized: same is the issue with this performance. Artrsis's website (https://sites.google.com/view/artrysis/performance-gallery?authuser=0) however, features more information and snippets about their various performances. ",Short reel clip: https://www.instagram.com/reel/Cnd1MyKj7Sk/?igshid=MzRlODBiNWFlZA%3D%3D Artrysis can be found at: soutoryle@gmail.com. Their website is https://sites.google.com/view/artrysis/performance-gallery?authuser=0,
Alien Flowers (1996) | Sudarshan Chakraborty & Sapphire Creations,Dance,40 minutes,"India's first queer ballet, choreographed by Sudarshan Chakraborty, Alien Flowers is a meditation on queer love. Staged first in Kolkata in 1996, it was centred around the story of a gay man navigating desire and prejudice. Narrated in English, it describes his journey from birth to death through the medium of poetry, dance and theatre. ","The play features a mix of dance, drama and poetry in conveying its message, and its trance-inducing English narration creates an alternate effect on its audience. The very introduction of an alien dance format like ballet is also interesting in subverting the spectator's gaze. In an intricate play of light and sound, both male and female forms of sexuality and desire are explored through individual and group performances. The form also intermixes both Western classical, and Indian classical forms of dance. Alien Flowers is a pathbreaking queer play that broke many traditions in the early 90s, and was one of the first Indian performances to sensitize people to queer issues. ","Alien Flowers, ballet, queer, Prejudice, Gay issues, theatre, poetry, English play, dance.",,ALIEN FLOWERS: Asia's First LGBT Dance Production 1996 | Sapphire Creations Dance Company - YouTube,
"Dil Dilli Dehleez (1 October, 2024) | Avatari Devi | Blackbox, Ashoka University",Spoken Word Poetry ,60 minutes (approx.),"Narrated by Avatari Devi (Swaja), this spoken-word Launda Naach form revolves around commentary about their queerness - and the city of Delhi and its various contradictions. It uses the various 'avatars' of Avatari devi to enchant the audience with an hour-long tale traversing various stories and disciplines.  ","This beautiful, intimate spoken play of words mixes various forms like striptease, song, Launda Naach, spoken word and poetry - to bring together Swaja's queer journey, and the journey of Delhi, in the same vein. Accompanied by electric guitar on the side, it is a deeply queer performance - reflective of thought behind CSGS's ADA series - and helps interact and question the audience quite a lot. They use multiple languages, employ a flirtatious tone, and intermix humor and politics well.","Avatari Devi, Swaja, Delhi, Spoken Word, Launda Naach, Dance, Poetry, Queer, CSGS, Ada. ",,Dil Dilli Dehleez,
Dance Like a Man (1989) by Mahesh Dattani,Theatre,120 minutes,"Dance Like a Man is about an elderly couple, Jairaj and Ratna, who are both classical dancers. Their past is steeped in personal sacrifices made for their careers, and the play traces the tensions between tradition, gender expectations, and personal ambitions. The story explores themes of masculinity and societal pressures faced by men pursuing non-conventional professions like classical dance, subtly addressing queer undertones through Jairaj's struggle with identity and self-expression.","The play explores the intersections of tradition, gender, and personal ambition within the framework of classical dance. It deserves a place in the archive for its nuanced exploration of masculinity in a traditionally gendered art form. It sheds light on societal pressures faced by men who defy conventional career norms. The play critically examines Jairaj’s struggle with identity and self-expression, presenting subtle queer undertones that question heteronormative expectations and gender binaries. The performance's emphasis on the body—as a site of discipline and rebellion—aligns with the archive's focus on live interaction and the queering of form and content. ","Performing arts, gender norms, classical dance, masculinity, societal expectations, Indian theatre, self-expression",The entire play is not available online.,https://www.youtube.com/watch?v=2lrjEk4RX5w https://www.facebook.com/p/Mahesh-Dattani-100063762771700/ ,
